LOCATION,TIME,Value
ROU,2004,4567.3975
ROU,2005,4940.3412
ROU,2006,4780.8971
ROU,2007,4747.8484
ROU,2008,5343.3317
ROU,2009,5268.5876
SVN,2000,787.604
SVN,2001,776.3112
SVN,2002,715.3005
SVN,2003,713.7957
SVN,2004,821.7588
SVN,2005,773.8511
SVN,2006,770.3282
SVN,2007,735.4488
SVN,2008,852.9664
SVN,2009,1079.5318
